Rank: 0 World size: 1 ZeRO stage: 0
GPU detected — training on GPU.
+-----------------------+----------------------------------------------------+
| Parameter             | Value                                              |
+-----------------------+----------------------------------------------------+
| train data pattern    | data/.tinyshakespeare/tiny_shakespeare_train.bin   |
| val data pattern      | data/.tinyshakespeare/tiny_shakespeare_val.bin     |
| output log dir        | NULL                                               |
| checkpoint_every      | 0                                                  |
| resume                | 0                                                  |
| micro batch size B    | 16                                                 |
| sequence length T     | 1024                                               |
| total batch size      | 524288                                             |
| LR scheduler          | cosine                                             |
| learning rate (LR)    | 0.001                                              |
| warmup iterations     | 25                                                 |
| final LR fraction     | 0.0                                                |
| weight decay          | 0.1                                                |
| max_steps             | 150                                                |
| val_loss_every        | 25                                                 |
| val_max_steps         | 20                                                 |
| sample_every          | 0                                                  |
| genT                  | 64                                                 |
| overfit_single_batch  | 0                                                  |
+-----------------------+----------------------------------------------------+
Model Summary:
--------------------------------
Model Name: GPT-2
Model Magic Number: 20240520
Model Config:
--------------------------------
Max Sequence Length: 1024
Vocab Size: 50257
Number of Layers: 12
Number of Heads: 12
Number of Channels: 768
Padded Vocab Size: 50304
--------------------------------
Number of Parameters: 124475904
--------------------------------
Number of Activations: 0
--------------------------------
Number of Gradients: 124475904
--------------------------------
+-----------------------+----------------------------------------------------+
| weight init method    | d12                                                |
| max_sequence_length T | 1024                                               |
| vocab_size V          | 50257                                              |
| padded_vocab_size Vp  | 50304                                              |
| num_layers L          | 12                                                 |
| num_heads NH          | 12                                                 |
| channels C            | 768                                                |
| num_parameters        | 124475904                                          |
+-----------------------+----------------------------------------------------+
Loaded train tokens from data/.tinyshakespeare/tiny_shakespeare_train.bin
Number of tokens: 305260
Loaded val tokens from data/.tinyshakespeare/tiny_shakespeare_val.bin
Number of tokens: 32768
Loaded tokenizer from gpt2_tokenizer.bin
batch_size B=16 * seq_len T=1024 * num_processes=1 and total_batch_size=524288
=> setting grad_accum_steps=32
+-----------------------+----------------------------------------------------+
| train_num_batches     | 150                                                |
| val_num_batches       | 2                                                  |
| num_processes         | 1                                                  |
| zero_stage            | 0                                                  |
+-----------------------+----------------------------------------------------+
Number of Activations: 6590349312
Number of Activation Gradients: 2746269696
val loss 11.007517
step 1/150 | loss 10.990254 (nanz)| norm 21.4872 (nanz)| lr 4.0000003e-05 | 6732.44 ms | n/a fp32 MFU | 77875 tok/s
step 2/150 | loss 9.872664 (nanz)| norm 9.1828 (nanz)| lr 8.0000005e-05 | 6766.67 ms | n/a fp32 MFU | 77481 tok/s
step 3/150 | loss 9.444538 (nanz)| norm 4.8804 (nanz)| lr 0.000120000004 | 6803.66 ms | n/a fp32 MFU | 77265 tok/s
step 4/150 | loss 9.550879 (nanz)| norm 7.1605 (nanz)| lr 0.00016000001 | 6847.03 ms | n/a fp32 MFU | 77022 tok/s
step 5/150 | loss 9.082800 (nanz)| norm 3.1869 (nanz)| lr 0.00020000001 | 6889.10 ms | n/a fp32 MFU | 76774 tok/s
step 6/150 | loss 8.950130 (nanz)| norm 5.2862 (nanz)| lr 0.00024000001 | 6844.80 ms | n/a fp32 MFU | 76735 tok/s
step 7/150 | loss 8.616423 (nanz)| norm 2.8287 (nanz)| lr 0.00028 | 6828.02 ms | n/a fp32 MFU | 76744 tok/s
step 8/150 | loss 8.391626 (nanz)| norm 9.7529 (nanz)| lr 0.00032000002 | 6873.37 ms | n/a fp32 MFU | 76667 tok/s
step 9/150 | loss 8.079409 (nanz)| norm 2.5547 (nanz)| lr 0.00036000003 | 6889.77 ms | n/a fp32 MFU | 76582 tok/s
step 10/150 | loss 7.766169 (nanz)| norm 1.9034 (nanz)| lr 0.00040000002 | 6919.68 ms | n/a fp32 MFU | 76472 tok/s
step 11/150 | loss 7.449321 (nanz)| norm 1.5834 (nanz)| lr 0.00044000003 | 6946.50 ms | n/a fp32 MFU | 76348 tok/s
step 12/150 | loss 7.140608 (nanz)| norm 1.4044 (nanz)| lr 0.00048000002 | 6955.17 ms | n/a fp32 MFU | 76236 tok/s
step 13/150 | loss 6.968111 (nanz)| norm 6.7264 (nanz)| lr 0.00052 | 6979.65 ms | n/a fp32 MFU | 76114 tok/s
step 14/150 | loss 6.734771 (nanz)| norm 2.0094 (nanz)| lr 0.00056 | 6978.27 ms | n/a fp32 MFU | 76013 tok/s
step 15/150 | loss 6.485577 (nanz)| norm 1.5041 (nanz)| lr 0.0006 | 6979.29 ms | n/a fp32 MFU | 75926 tok/s
step 16/150 | loss 6.320507 (nanz)| norm 1.4910 (nanz)| lr 0.00064000004 | 6989.65 ms | n/a fp32 MFU | 75841 tok/s
step 17/150 | loss 6.206583 (nanz)| norm 1.3224 (nanz)| lr 0.00068000006 | 7002.63 ms | n/a fp32 MFU | 75754 tok/s
step 18/150 | loss 6.124132 (nanz)| norm 0.7663 (nanz)| lr 0.00072000007 | 7007.99 ms | n/a fp32 MFU | 75673 tok/s
step 19/150 | loss 6.117052 (nanz)| norm 3.1183 (nanz)| lr 0.00076 | 7026.16 ms | n/a fp32 MFU | 75586 tok/s
step 20/150 | loss 6.076963 (nanz)| norm 1.2849 (nanz)| lr 0.00080000004 | 7023.71 ms | n/a fp32 MFU | 75510 tok/s
step 21/150 | loss 6.052536 (nanz)| norm 1.4031 (nanz)| lr 0.00084000005 | 7032.66 ms | n/a fp32 MFU | 75435 tok/s
step 22/150 | loss 5.983886 (nanz)| norm 1.1754 (nanz)| lr 0.00088000006 | 7039.85 ms | n/a fp32 MFU | 75363 tok/s
step 23/150 | loss 6.064742 (nanz)| norm 3.3875 (nanz)| lr 0.0009200001 | 7039.35 ms | n/a fp32 MFU | 75297 tok/s
step 24/150 | loss 5.984649 (nanz)| norm 1.6974 (nanz)| lr 0.00096000003 | 7046.96 ms | n/a fp32 MFU | 75232 tok/s
step 25/150 | loss 5.983127 (nanz)| norm 2.4722 (nanz)| lr 0.001 | 7051.40 ms | n/a fp32 MFU | 75170 tok/s
val loss 6.471952
step 26/150 | loss 5.982241 (nanz)| norm 2.4695 (nanz)| lr 0.001 | 7061.17 ms | n/a fp32 MFU | 75107 tok/s
step 27/150 | loss 5.963704 (nanz)| norm 1.7661 (nanz)| lr 0.0009998422 | 7056.77 ms | n/a fp32 MFU | 75052 tok/s
step 28/150 | loss 6.095133 (nanz)| norm 8.9144 (nanz)| lr 0.0009993685 | 7050.54 ms | n/a fp32 MFU | 75005 tok/s
step 29/150 | loss 6.522459 (nanz)| norm 19.3985 (nanz)| lr 0.0009985795 | 7078.63 ms | n/a fp32 MFU | 74944 tok/s
step 30/150 | loss 5.967601 (nanz)| norm 3.1881 (nanz)| lr 0.0009974756 | 7070.51 ms | n/a fp32 MFU | 74893 tok/s
step 31/150 | loss 5.951185 (nanz)| norm 3.6157 (nanz)| lr 0.0009960574 | 7068.66 ms | n/a fp32 MFU | 74847 tok/s
step 32/150 | loss 5.913944 (nanz)| norm 1.0098 (nanz)| lr 0.000994326 | 7075.31 ms | n/a fp32 MFU | 74800 tok/s
step 33/150 | loss 5.875405 (nanz)| norm 1.1669 (nanz)| lr 0.0009922822 | 7085.32 ms | n/a fp32 MFU | 74750 tok/s
step 34/150 | loss 5.840629 (nanz)| norm 1.1175 (nanz)| lr 0.0009899276 | 7092.69 ms | n/a fp32 MFU | 74699 tok/s
step 35/150 | loss 5.803460 (nanz)| norm 0.8373 (nanz)| lr 0.0009872635 | 7092.19 ms | n/a fp32 MFU | 74652 tok/s
step 36/150 | loss 5.789334 (nanz)| norm 0.7508 (nanz)| lr 0.0009842916 | 7099.48 ms | n/a fp32 MFU | 74604 tok/s
step 37/150 | loss 5.796413 (nanz)| norm 1.0520 (nanz)| lr 0.0009810139 | 7095.82 ms | n/a fp32 MFU | 74561 tok/s
step 38/150 | loss 5.737206 (nanz)| norm 0.6515 (nanz)| lr 0.0009774324 | 7100.79 ms | n/a fp32 MFU | 74519 tok/s
step 39/150 | loss 5.725164 (nanz)| norm 0.6061 (nanz)| lr 0.00097354915 | 7103.20 ms | n/a fp32 MFU | 74477 tok/s
step 40/150 | loss 5.697542 (nanz)| norm 0.8787 (nanz)| lr 0.0009693669 | 7112.44 ms | n/a fp32 MFU | 74433 tok/s
step 41/150 | loss 5.699833 (nanz)| norm 0.8271 (nanz)| lr 0.00096488825 | 7113.76 ms | n/a fp32 MFU | 74391 tok/s
step 42/150 | loss 5.655277 (nanz)| norm 0.5166 (nanz)| lr 0.000960116 | 7115.55 ms | n/a fp32 MFU | 74351 tok/s
step 43/150 | loss 5.627798 (nanz)| norm 1.0212 (nanz)| lr 0.000955053 | 7114.86 ms | n/a fp32 MFU | 74313 tok/s
step 44/150 | loss 5.584933 (nanz)| norm 0.8371 (nanz)| lr 0.0009497027 | 7122.75 ms | n/a fp32 MFU | 74274 tok/s
step 45/150 | loss 5.561900 (nanz)| norm 0.9546 (nanz)| lr 0.00094406825 | 7130.69 ms | n/a fp32 MFU | 74232 tok/s
step 46/150 | loss 5.579696 (nanz)| norm 1.3933 (nanz)| lr 0.00093815336 | 7136.89 ms | n/a fp32 MFU | 74189 tok/s
step 47/150 | loss 5.457804 (nanz)| norm 0.7037 (nanz)| lr 0.00093196175 | 7138.62 ms | n/a fp32 MFU | 74148 tok/s
step 48/150 | loss 5.468720 (nanz)| norm 1.4712 (nanz)| lr 0.00092549727 | 7143.92 ms | n/a fp32 MFU | 74106 tok/s
step 49/150 | loss 5.422865 (nanz)| norm 1.3288 (nanz)| lr 0.00091876404 | 7139.43 ms | n/a fp32 MFU | 74070 tok/s
step 50/150 | loss 5.451536 (nanz)| norm 1.4752 (nanz)| lr 0.0009117663 | 7133.00 ms | n/a fp32 MFU | 74039 tok/s
val loss 5.900995
step 51/150 | loss 5.352590 (nanz)| norm 0.8372 (nanz)| lr 0.0009045085 | 7134.43 ms | n/a fp32 MFU | 74009 tok/s
step 52/150 | loss 5.402243 (nanz)| norm 1.6565 (nanz)| lr 0.00089699525 | 7140.40 ms | n/a fp32 MFU | 73977 tok/s
step 53/150 | loss 5.276168 (nanz)| norm 0.8750 (nanz)| lr 0.00088923116 | 7140.65 ms | n/a fp32 MFU | 73948 tok/s
step 54/150 | loss 5.277087 (nanz)| norm 0.8296 (nanz)| lr 0.00088122126 | 7138.33 ms | n/a fp32 MFU | 73921 tok/s
