Rank: 0 World size: 1 ZeRO stage: 0
GPU detected — training on GPU.
+-----------------------+----------------------------------------------------+
| Parameter             | Value                                              |
+-----------------------+----------------------------------------------------+
| train data pattern    | data/.fineweb10B/fineweb_train_*.bin               |
| val data pattern      | data/.fineweb10B/fineweb_val_000000.bin            |
| output log dir        | NULL                                               |
| checkpoint_every      | 0                                                  |
| resume                | 0                                                  |
| micro batch size B    | 16                                                 |
| sequence length T     | 1024                                               |
| total batch size      | 524288                                             |
| LR scheduler          | cosine                                             |
| learning rate (LR)    | 0.001                                              |
| warmup iterations     | 25                                                 |
| final LR fraction     | 0.0                                                |
| weight decay          | 0.1                                                |
| max_steps             | 150                                                |
| val_loss_every        | 25                                                 |
| val_max_steps         | 20                                                 |
| sample_every          | 0                                                  |
| genT                  | 64                                                 |
| overfit_single_batch  | 0                                                  |
+-----------------------+----------------------------------------------------+
Model Summary:
--------------------------------
Model Name: GPT-2
Model Magic Number: 20240520
Model Config:
--------------------------------
Max Sequence Length: 1024
Vocab Size: 50257
Number of Layers: 12
Number of Heads: 12
Number of Channels: 768
Padded Vocab Size: 50304
--------------------------------
Number of Parameters: 124475904
--------------------------------
Number of Activations: 0
--------------------------------
Number of Gradients: 124475904
--------------------------------
+-----------------------+----------------------------------------------------+
| weight init method    | d12                                                |
| max_sequence_length T | 1024                                               |
| vocab_size V          | 50257                                              |
| padded_vocab_size Vp  | 50304                                              |
| num_layers L          | 12                                                 |
| num_heads NH          | 12                                                 |
| channels C            | 768                                                |
| num_parameters        | 124475904                                          |
+-----------------------+----------------------------------------------------+
Loaded train tokens from data/.fineweb10B/fineweb_train_*.bin
Number of tokens: 7800000000
Loaded val tokens from data/.fineweb10B/fineweb_val_000000.bin
Number of tokens: 100000000
Loaded tokenizer from gpt2_tokenizer.bin
batch_size B=16 * seq_len T=1024 * num_processes=1 and total_batch_size=524288
=> setting grad_accum_steps=32
+-----------------------+----------------------------------------------------+
| train_num_batches     | 150                                                |
| val_num_batches       | 20                                                 |
| num_processes         | 1                                                  |
| zero_stage            | 0                                                  |
+-----------------------+----------------------------------------------------+
Number of Activations: 6590349312
Number of Activation Gradients: 2746269696
val loss 11.008389
step 1/150 | loss 11.008743 (nanz)| norm 15.7121 (nanz)| lr 4.0000003e-05 | 6938.93 ms | n/a fp32 MFU | 75558 tok/s
step 2/150 | loss 10.231068 (nanz)| norm 6.6793 (nanz)| lr 8.0000005e-05 | 6864.61 ms | n/a fp32 MFU | 76376 tok/s
step 3/150 | loss 9.865333 (nanz)| norm 3.4552 (nanz)| lr 0.000120000004 | 6898.51 ms | n/a fp32 MFU | 76183 tok/s
step 4/150 | loss 9.665257 (nanz)| norm 2.3936 (nanz)| lr 0.00016000001 | 6958.86 ms | n/a fp32 MFU | 75888 tok/s
step 5/150 | loss 9.535625 (nanz)| norm 2.0265 (nanz)| lr 0.00020000001 | 6975.18 ms | n/a fp32 MFU | 75693 tok/s
step 6/150 | loss 9.378391 (nanz)| norm 1.9498 (nanz)| lr 0.00024000001 | 6998.90 ms | n/a fp32 MFU | 75520 tok/s
step 7/150 | loss 9.201517 (nanz)| norm 1.8622 (nanz)| lr 0.00028 | 7021.56 ms | n/a fp32 MFU | 75359 tok/s
step 8/150 | loss 8.948009 (nanz)| norm 1.7524 (nanz)| lr 0.00032000002 | 7031.60 ms | n/a fp32 MFU | 75227 tok/s
step 9/150 | loss 8.784969 (nanz)| norm 1.5375 (nanz)| lr 0.00036000003 | 7037.68 ms | n/a fp32 MFU | 75119 tok/s
step 10/150 | loss 8.582236 (nanz)| norm 3.0094 (nanz)| lr 0.00040000002 | 7045.98 ms | n/a fp32 MFU | 75023 tok/s
step 11/150 | loss 8.380386 (nanz)| norm 1.3535 (nanz)| lr 0.00044000003 | 7041.36 ms | n/a fp32 MFU | 74952 tok/s
step 12/150 | loss 8.200305 (nanz)| norm 1.2304 (nanz)| lr 0.00048000002 | 7048.66 ms | n/a fp32 MFU | 74886 tok/s
step 13/150 | loss 7.968426 (nanz)| norm 1.0743 (nanz)| lr 0.00052 | 7062.29 ms | n/a fp32 MFU | 74816 tok/s
step 14/150 | loss 7.849932 (nanz)| norm 6.5887 (nanz)| lr 0.00056 | 7093.49 ms | n/a fp32 MFU | 74723 tok/s
step 15/150 | loss 7.798653 (nanz)| norm 2.1714 (nanz)| lr 0.0006 | 7081.60 ms | n/a fp32 MFU | 74656 tok/s
step 16/150 | loss 7.694208 (nanz)| norm 0.9939 (nanz)| lr 0.00064000004 | 7073.40 ms | n/a fp32 MFU | 74606 tok/s
