Rank: 0 World size: 1 ZeRO stage: 0
GPU detected — training on GPU.
+-----------------------+----------------------------------------------------+
| Parameter             | Value                                              |
+-----------------------+----------------------------------------------------+
| train data pattern    | data/.fineweb10B/fineweb_train_*.bin               |
| val data pattern      | data/.fineweb10B/fineweb_val_000000.bin            |
| output log dir        | NULL                                               |
| checkpoint_every      | 0                                                  |
| resume                | 0                                                  |
| micro batch size B    | 16                                                 |
| sequence length T     | 1024                                               |
| total batch size      | 524288                                             |
| LR scheduler          | cosine                                             |
| learning rate (LR)    | 0.0014                                             |
| warmup iterations     | 30                                                 |
| final LR fraction     | 0.0                                                |
| weight decay          | 0.1                                                |
| max_steps             | 150                                                |
| val_loss_every        | 25                                                 |
| val_max_steps         | 20                                                 |
| sample_every          | 0                                                  |
| genT                  | 64                                                 |
| overfit_single_batch  | 0                                                  |
+-----------------------+----------------------------------------------------+
Model Summary:
--------------------------------
Model Name: GPT-2
Model Magic Number: 20240520
Model Config:
--------------------------------
Max Sequence Length: 1024
Vocab Size: 50257
Number of Layers: 12
Number of Heads: 12
Number of Channels: 768
Padded Vocab Size: 50304
--------------------------------
Number of Parameters: 124475904
--------------------------------
Number of Activations: 0
--------------------------------
Number of Gradients: 124475904
--------------------------------
+-----------------------+----------------------------------------------------+
| weight init method    | d12                                                |
| max_sequence_length T | 1024                                               |
| vocab_size V          | 50257                                              |
| padded_vocab_size Vp  | 50304                                              |
| num_layers L          | 12                                                 |
| num_heads NH          | 12                                                 |
| channels C            | 768                                                |
| num_parameters        | 124475904                                          |
+-----------------------+----------------------------------------------------+
Loaded train tokens from data/.fineweb10B/fineweb_train_*.bin
Number of tokens: 7800000000
Loaded val tokens from data/.fineweb10B/fineweb_val_000000.bin
Number of tokens: 100000000
Loaded tokenizer from gpt2_tokenizer.bin
batch_size B=16 * seq_len T=1024 * num_processes=1 and total_batch_size=524288
=> setting grad_accum_steps=32
+-----------------------+----------------------------------------------------+
| train_num_batches     | 150                                                |
| val_num_batches       | 20                                                 |
| num_processes         | 1                                                  |
| zero_stage            | 0                                                  |
+-----------------------+----------------------------------------------------+
Number of Activations: 6590349312
Number of Activation Gradients: 2746269696
val loss 11.008389
step 1/150 | loss 11.008743 (nanz)| norm 15.7121 (nanz)| lr 4.6666664e-05 | 6716.34 ms | n/a fp32 MFU | 78062 tok/s
step 2/150 | loss 10.212781 (nanz)| norm 6.5023 (nanz)| lr 9.333333e-05 | 6680.35 ms | n/a fp32 MFU | 78482 tok/s
step 3/150 | loss 9.852773 (nanz)| norm 3.2134 (nanz)| lr 0.00013999999 | 6690.73 ms | n/a fp32 MFU | 78420 tok/s
step 4/150 | loss 9.644824 (nanz)| norm 2.2874 (nanz)| lr 0.00018666666 | 6672.85 ms | n/a fp32 MFU | 78472 tok/s
step 5/150 | loss 9.501101 (nanz)| norm 1.9893 (nanz)| lr 0.00023333332 | 6703.97 ms | n/a fp32 MFU | 78401 tok/s
step 6/150 | loss 9.322660 (nanz)| norm 1.9184 (nanz)| lr 0.00027999998 | 6715.67 ms | n/a fp32 MFU | 78327 tok/s
step 7/150 | loss 9.121904 (nanz)| norm 1.8116 (nanz)| lr 0.00032666666 | 6729.74 ms | n/a fp32 MFU | 78248 tok/s
step 8/150 | loss 8.843373 (nanz)| norm 1.6867 (nanz)| lr 0.0003733333 | 6747.09 ms | n/a fp32 MFU | 78158 tok/s
step 9/150 | loss 8.659803 (nanz)| norm 1.4438 (nanz)| lr 0.00041999997 | 6759.11 ms | n/a fp32 MFU | 78070 tok/s
step 10/150 | loss 8.458485 (nanz)| norm 3.3233 (nanz)| lr 0.00046666665 | 6768.18 ms | n/a fp32 MFU | 77988 tok/s
step 11/150 | loss 8.244935 (nanz)| norm 1.2303 (nanz)| lr 0.0005133333 | 6767.28 ms | n/a fp32 MFU | 77924 tok/s
step 12/150 | loss 8.077545 (nanz)| norm 1.1276 (nanz)| lr 0.00055999996 | 6773.55 ms | n/a fp32 MFU | 77864 tok/s
step 13/150 | loss 7.864710 (nanz)| norm 0.9203 (nanz)| lr 0.0006066666 | 6778.77 ms | n/a fp32 MFU | 77807 tok/s
step 14/150 | loss 7.816699 (nanz)| norm 10.8256 (nanz)| lr 0.0006533333 | 6804.49 ms | n/a fp32 MFU | 77729 tok/s
step 15/150 | loss 7.768928 (nanz)| norm 2.5286 (nanz)| lr 0.0007 | 6791.92 ms | n/a fp32 MFU | 77677 tok/s
step 16/150 | loss 7.711660 (nanz)| norm 1.3184 (nanz)| lr 0.0007466666 | 6782.21 ms | n/a fp32 MFU | 77642 tok/s
step 17/150 | loss 7.688739 (nanz)| norm 0.9796 (nanz)| lr 0.0007933333 | 6787.16 ms | n/a fp32 MFU | 77607 tok/s
step 18/150 | loss 7.737900 (nanz)| norm 0.8995 (nanz)| lr 0.00083999993 | 6799.24 ms | n/a fp32 MFU | 77564 tok/s
step 19/150 | loss 7.767059 (nanz)| norm 1.2577 (nanz)| lr 0.00088666665 | 6807.16 ms | n/a fp32 MFU | 77519 tok/s
step 20/150 | loss 7.772920 (nanz)| norm 2.6130 (nanz)| lr 0.0009333333 | 6816.38 ms | n/a fp32 MFU | 77471 tok/s
step 21/150 | loss 7.834099 (nanz)| norm 1.8038 (nanz)| lr 0.0009799999 | 6825.86 ms | n/a fp32 MFU | 77419 tok/s
step 22/150 | loss 7.785621 (nanz)| norm 1.1666 (nanz)| lr 0.0010266666 | 6819.83 ms | n/a fp32 MFU | 77378 tok/s
step 23/150 | loss 7.626653 (nanz)| norm 1.0221 (nanz)| lr 0.0010733332 | 6833.57 ms | n/a fp32 MFU | 77329 tok/s
step 24/150 | loss 7.634493 (nanz)| norm 1.1657 (nanz)| lr 0.0011199999 | 6823.66 ms | n/a fp32 MFU | 77294 tok/s
step 25/150 | loss 7.529681 (nanz)| norm 0.9010 (nanz)| lr 0.0011666666 | 6825.58 ms | n/a fp32 MFU | 77260 tok/s
val loss 7.630783
step 26/150 | loss 7.564748 (nanz)| norm 1.2892 (nanz)| lr 0.0012133332 | 6831.40 ms | n/a fp32 MFU | 77224 tok/s
step 27/150 | loss 7.508390 (nanz)| norm 1.0799 (nanz)| lr 0.0012599999 | 6841.59 ms | n/a fp32 MFU | 77184 tok/s
step 28/150 | loss 7.496251 (nanz)| norm 1.3908 (nanz)| lr 0.0013066666 | 6848.66 ms | n/a fp32 MFU | 77142 tok/s
step 29/150 | loss 7.514897 (nanz)| norm 1.0724 (nanz)| lr 0.0013533332 | 6853.42 ms | n/a fp32 MFU | 77100 tok/s
step 30/150 | loss 7.493976 (nanz)| norm 0.8120 (nanz)| lr 0.0014 | 6847.23 ms | n/a fp32 MFU | 77066 tok/s
step 31/150 | loss 7.451882 (nanz)| norm 0.6818 (nanz)| lr 0.0014 | 6840.79 ms | n/a fp32 MFU | 77039 tok/s
step 32/150 | loss 7.378806 (nanz)| norm 0.7043 (nanz)| lr 0.0013997601 | 6840.30 ms | n/a fp32 MFU | 77014 tok/s
step 33/150 | loss 7.343551 (nanz)| norm 0.5110 (nanz)| lr 0.0013990407 | 6842.45 ms | n/a fp32 MFU | 76990 tok/s
step 34/150 | loss 7.333727 (nanz)| norm 0.4987 (nanz)| lr 0.0013978421 | 6842.92 ms | n/a fp32 MFU | 76967 tok/s
step 35/150 | loss 7.376123 (nanz)| norm 0.4412 (nanz)| lr 0.0013961652 | 6840.62 ms | n/a fp32 MFU | 76947 tok/s
step 36/150 | loss 7.313272 (nanz)| norm 0.4909 (nanz)| lr 0.0013940113 | 6845.82 ms | n/a fp32 MFU | 76926 tok/s
step 37/150 | loss 7.278976 (nanz)| norm 0.5165 (nanz)| lr 0.0013913817 | 6844.95 ms | n/a fp32 MFU | 76906 tok/s
step 38/150 | loss 7.261659 (nanz)| norm 0.4119 (nanz)| lr 0.0013882784 | 6848.56 ms | n/a fp32 MFU | 76885 tok/s
step 39/150 | loss 7.277751 (nanz)| norm 0.5041 (nanz)| lr 0.0013847033 | 6850.69 ms | n/a fp32 MFU | 76865 tok/s
step 40/150 | loss 7.235019 (nanz)| norm 0.4701 (nanz)| lr 0.0013806589 | 6848.27 ms | n/a fp32 MFU | 76847 tok/s
step 41/150 | loss 7.201817 (nanz)| norm 0.3385 (nanz)| lr 0.001376148 | 6843.67 ms | n/a fp32 MFU | 76833 tok/s
step 42/150 | loss 7.195065 (nanz)| norm 0.3779 (nanz)| lr 0.0013711738 | 6846.12 ms | n/a fp32 MFU | 76819 tok/s
step 43/150 | loss 7.231253 (nanz)| norm 0.3684 (nanz)| lr 0.0013657395 | 6844.78 ms | n/a fp32 MFU | 76806 tok/s
step 44/150 | loss 7.174581 (nanz)| norm 0.3613 (nanz)| lr 0.001359849 | 6847.32 ms | n/a fp32 MFU | 76793 tok/s
step 45/150 | loss 7.112586 (nanz)| norm 0.3693 (nanz)| lr 0.0013535062 | 6846.92 ms | n/a fp32 MFU | 76781 tok/s
step 46/150 | loss 7.136237 (nanz)| norm 0.3262 (nanz)| lr 0.0013467156 | 6846.65 ms | n/a fp32 MFU | 76769 tok/s
step 47/150 | loss 7.151972 (nanz)| norm 0.2593 (nanz)| lr 0.0013394817 | 6849.21 ms | n/a fp32 MFU | 76757 tok/s
step 48/150 | loss 7.122758 (nanz)| norm 0.3296 (nanz)| lr 0.0013318097 | 6852.99 ms | n/a fp32 MFU | 76743 tok/s
step 49/150 | loss 7.097249 (nanz)| norm 0.2473 (nanz)| lr 0.0013237045 | 6852.98 ms | n/a fp32 MFU | 76730 tok/s
step 50/150 | loss 7.065545 (nanz)| norm 0.2492 (nanz)| lr 0.001315172 | 6853.81 ms | n/a fp32 MFU | 76717 tok/s
val loss 7.162957
