Rank: 0 World size: 1 ZeRO stage: 0
GPU detected — training on GPU.
+-----------------------+----------------------------------------------------+
| Parameter             | Value                                              |
+-----------------------+----------------------------------------------------+
| train data pattern    | data/.fineweb10B/fineweb_train_*.bin               |
| val data pattern      | data/.fineweb10B/fineweb_val_000000.bin            |
| output log dir        | NULL                                               |
| checkpoint_every      | 0                                                  |
| resume                | 0                                                  |
| micro batch size B    | 16                                                 |
| sequence length T     | 1024                                               |
| total batch size      | 524288                                             |
| LR scheduler          | cosine                                             |
| learning rate (LR)    | 0.0018                                             |
| warmup iterations     | 15                                                 |
| final LR fraction     | 0.0                                                |
| weight decay          | 0.1                                                |
| max_steps             | 150                                                |
| val_loss_every        | 25                                                 |
| val_max_steps         | 20                                                 |
| sample_every          | 0                                                  |
| genT                  | 64                                                 |
| overfit_single_batch  | 0                                                  |
+-----------------------+----------------------------------------------------+
Model Summary:
--------------------------------
Model Name: GPT-2
Model Magic Number: 20240520
Model Config:
--------------------------------
Max Sequence Length: 1024
Vocab Size: 50257
Number of Layers: 12
Number of Heads: 12
Number of Channels: 768
Padded Vocab Size: 50304
--------------------------------
Number of Parameters: 124475904
--------------------------------
Number of Activations: 0
--------------------------------
Number of Gradients: 124475904
--------------------------------
+-----------------------+----------------------------------------------------+
| weight init method    | d12                                                |
| max_sequence_length T | 1024                                               |
| vocab_size V          | 50257                                              |
| padded_vocab_size Vp  | 50304                                              |
| num_layers L          | 12                                                 |
| num_heads NH          | 12                                                 |
| channels C            | 768                                                |
| num_parameters        | 124475904                                          |
+-----------------------+----------------------------------------------------+
Loaded train tokens from data/.fineweb10B/fineweb_train_*.bin
Number of tokens: 10251184259
Loaded val tokens from data/.fineweb10B/fineweb_val_000000.bin
Number of tokens: 100000000
Loaded tokenizer from gpt2_tokenizer.bin
batch_size B=16 * seq_len T=1024 * num_processes=1 and total_batch_size=524288
=> setting grad_accum_steps=32
+-----------------------+----------------------------------------------------+
| train_num_batches     | 150                                                |
| val_num_batches       | 20                                                 |
| num_processes         | 1                                                  |
| zero_stage            | 0                                                  |
+-----------------------+----------------------------------------------------+
Number of Activations: 6590349312
Number of Activation Gradients: 2746269696
val loss 11.008389
step 1/150 | loss 11.008743 (nanz)| norm 15.7121 (nanz)| lr 0.00012 | 6864.41 ms | n/a fp32 MFU | 76378 tok/s
step 2/150 | loss 10.141927 (nanz)| norm 5.5832 (nanz)| lr 0.00024 | 6766.40 ms | n/a fp32 MFU | 77484 tok/s
step 3/150 | loss 9.757198 (nanz)| norm 2.2826 (nanz)| lr 0.00036 | 6789.64 ms | n/a fp32 MFU | 77348 tok/s
step 4/150 | loss 9.446318 (nanz)| norm 2.0134 (nanz)| lr 0.00048 | 6817.10 ms | n/a fp32 MFU | 77194 tok/s
step 5/150 | loss 9.126313 (nanz)| norm 1.7540 (nanz)| lr 0.00059999997 | 6839.69 ms | n/a fp32 MFU | 77048 tok/s
step 6/150 | loss 8.750366 (nanz)| norm 1.5696 (nanz)| lr 0.00072 | 6862.07 ms | n/a fp32 MFU | 76906 tok/s
step 7/150 | loss 8.396707 (nanz)| norm 1.2737 (nanz)| lr 0.00084 | 6877.90 ms | n/a fp32 MFU | 76778 tok/s
step 8/150 | loss 8.024556 (nanz)| norm 0.9574 (nanz)| lr 0.00096 | 6875.72 ms | n/a fp32 MFU | 76691 tok/s
step 9/150 | loss 7.867460 (nanz)| norm 0.7000 (nanz)| lr 0.0010800001 | 6891.75 ms | n/a fp32 MFU | 76599 tok/s
step 10/150 | loss 7.724133 (nanz)| norm 0.5051 (nanz)| lr 0.0011999999 | 6904.45 ms | n/a fp32 MFU | 76509 tok/s
step 11/150 | loss 7.737402 (nanz)| norm 0.8297 (nanz)| lr 0.00132 | 6932.13 ms | n/a fp32 MFU | 76400 tok/s
step 12/150 | loss 7.778069 (nanz)| norm 1.9539 (nanz)| lr 0.00144 | 6958.89 ms | n/a fp32 MFU | 76277 tok/s
step 13/150 | loss 7.803127 (nanz)| norm 1.1489 (nanz)| lr 0.00156 | 6944.61 ms | n/a fp32 MFU | 76192 tok/s
step 14/150 | loss 8.068390 (nanz)| norm 2.3404 (nanz)| lr 0.00168 | 6960.71 ms | n/a fp32 MFU | 76103 tok/s
step 15/150 | loss 7.894975 (nanz)| norm 2.8373 (nanz)| lr 0.0018 | 6973.56 ms | n/a fp32 MFU | 76013 tok/s
step 16/150 | loss 7.992198 (nanz)| norm 2.0350 (nanz)| lr 0.0018 | 6989.26 ms | n/a fp32 MFU | 75920 tok/s
step 17/150 | loss 7.878689 (nanz)| norm 1.2275 (nanz)| lr 0.0017997562 | 6999.52 ms | n/a fp32 MFU | 75829 tok/s
step 18/150 | loss 7.821765 (nanz)| norm 0.9871 (nanz)| lr 0.0017990253 | 7003.64 ms | n/a fp32 MFU | 75746 tok/s
step 19/150 | loss 7.790479 (nanz)| norm 1.1715 (nanz)| lr 0.0017978076 | 7001.93 ms | n/a fp32 MFU | 75674 tok/s
step 20/150 | loss 7.731784 (nanz)| norm 0.8873 (nanz)| lr 0.0017961037 | 7006.73 ms | n/a fp32 MFU | 75606 tok/s
step 21/150 | loss 7.694888 (nanz)| norm 0.5796 (nanz)| lr 0.0017939145 | 7013.96 ms | n/a fp32 MFU | 75539 tok/s
step 22/150 | loss 7.670247 (nanz)| norm 1.3778 (nanz)| lr 0.0017912411 | 7020.04 ms | n/a fp32 MFU | 75474 tok/s
step 23/150 | loss 7.617600 (nanz)| norm 1.3970 (nanz)| lr 0.0017880853 | 7025.58 ms | n/a fp32 MFU | 75411 tok/s
step 24/150 | loss 7.614391 (nanz)| norm 0.7951 (nanz)| lr 0.0017844485 | 7033.09 ms | n/a fp32 MFU | 75349 tok/s
step 25/150 | loss 7.501526 (nanz)| norm 0.4746 (nanz)| lr 0.0017803329 | 7033.83 ms | n/a fp32 MFU | 75292 tok/s
val loss 7.6040025
step 26/150 | loss 7.545816 (nanz)| norm 0.7007 (nanz)| lr 0.0017757403 | 7030.61 ms | n/a fp32 MFU | 75242 tok/s
step 27/150 | loss 7.452054 (nanz)| norm 0.5264 (nanz)| lr 0.0017706737 | 7031.31 ms | n/a fp32 MFU | 75196 tok/s
step 28/150 | loss 7.428177 (nanz)| norm 0.5099 (nanz)| lr 0.0017651356 | 7039.38 ms | n/a fp32 MFU | 75148 tok/s
step 29/150 | loss 7.427031 (nanz)| norm 0.4572 (nanz)| lr 0.0017591289 | 7039.42 ms | n/a fp32 MFU | 75104 tok/s
step 30/150 | loss 7.425698 (nanz)| norm 0.5698 (nanz)| lr 0.0017526569 | 7034.97 ms | n/a fp32 MFU | 75067 tok/s
step 31/150 | loss 7.384041 (nanz)| norm 0.3245 (nanz)| lr 0.0017457233 | 7043.13 ms | n/a fp32 MFU | 75027 tok/s
step 32/150 | loss 7.320497 (nanz)| norm 0.3578 (nanz)| lr 0.0017383317 | 7047.73 ms | n/a fp32 MFU | 74987 tok/s
step 33/150 | loss 7.279390 (nanz)| norm 0.4297 (nanz)| lr 0.0017304862 | 7054.74 ms | n/a fp32 MFU | 74945 tok/s
step 34/150 | loss 7.278142 (nanz)| norm 0.4624 (nanz)| lr 0.0017221908 | 7049.42 ms | n/a fp32 MFU | 74910 tok/s
step 35/150 | loss 7.308653 (nanz)| norm 0.3769 (nanz)| lr 0.0017134503 | 7047.00 ms | n/a fp32 MFU | 74879 tok/s
step 36/150 | loss 7.238404 (nanz)| norm 0.4717 (nanz)| lr 0.0017042693 | 7048.42 ms | n/a fp32 MFU | 74850 tok/s
step 37/150 | loss 7.201099 (nanz)| norm 0.2898 (nanz)| lr 0.0016946528 | 7049.40 ms | n/a fp32 MFU | 74821 tok/s
